"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"op vast deel van brug","op vast deel van brug","De weg is gelegen op een niet beweegbaar deel van een overbrugging.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"op beweegbaar deel van brug","op beweegbaar deel van brug","De weg is gelegen op een beweegbaar deel van een overbrugging.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"op knooppuntverbinding","op knooppuntverbinding","De weg is gelegen op een verkeersknooppunt van autosnelwegen en/of autowegen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"op oprit / afrit","op oprit / afrit","De weg is onderdeel van een op- of afrit van een autosnelweg, autoweg of hoofdweg.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"op overweg","op overweg","De weg is gelegen op een gelijkvloerse kruising van een wegdeel en een spoorbaan.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"op rotonde","op rotonde","De weg is geleden op een gelijkvloers kruispunt waar het verkeer in een rondgaande beweging wordt afgewikkeld en waar het verkeer op deze rotonde voorrang heeft.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"in tunnel","in tunnel","De weg is gelegen in een kunstmatig aangelegde, onderaardse kokervormige doorgang.","BRT","-","-","nee","ja","ja","01-01-2026","-"
