"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"spoorbaan","spoorbaan","Gebaand gedeelte voor het verkeer over rails.","BGT","De spoorbaan bestaat uit het terrein met het grindbed, de dwarsliggers en de rails en loopt vaak tot aan de begrenzende sloot, een hek of een vlak van een ander objecttype. De spoorbaan wordt ook aangegeven op een spoorbrug en in een tunnel. De breedte wordt bepaalt aan de hand van de in- en uitgangsbreedte van de tunnel. Spoorbaan wordt niet aangegeven als het spoor geïntegreerd is in andere objecten en dus geen eigen grindbed heeft, bijvoorbeeld een tramlijn in een weg. Overwegen zijn onderdeel van het objecttype weg, niet van het objecttype spoor.","-","nee","nee","ja","01-01-2026","-"
"trein","trein","Spoor voor een railvoertuig voor de langere afstand dat sneller dan 45 km per uur kan, bestaande uit een enkele of een reeks van locomotieven, treinstellen en/of wagons.","BGT","-","-","nee","ja","nee","01-01-2026","-"
"sneltram","sneltram","Spoor voor interlokale tram met een vrije baan.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"metro","metro","Spoor bestemd voor een voornamelijk ondergrondse personentrein in een grote stad.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"tram","tram","Spoor voor een railvoertuig voor personenvervoer voor de korte afstand.","BGT","-","-","nee","ja","nee","01-01-2026","-"
"gemengd","gemengd","Spoor bestemd voor een combinatie van zowel trein, sneltram of tramverkeer.","BRT","-","-","nee","ja","nee","01-01-2026","-"
