"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"1";"in duiker";"Het water is gelegen in een koker die dient voor de instandhouding van de verbinding tussen wederzijds gelegen wateren of voor de afwatering van aangrenzende landerijen.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"2";"in sluis";"Het water is gelegen in het deel tussen de sluisdeuren van een schutsluis / scheepvaartsluis (de schutkolk / sluiskolk).";"BRT";"-";"-";"nee";"ja";"ja";"01-01-2025";"-"
"3";"op brug";"Het water is gelegen in een bakvormige constructie die het water over een weg, een spoor of een ander water leidt (aquaduct).";"BRT";"-";"-";"nee";"ja";"ja";"01-01-2025";"-"
