"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"1";"Nederlands";"De taal is van de naam is Nederlands.";"BRT";"-";"-";"nee";"nee";"nee";"01-01-2025";"-"
"2";"Fries";"De taal van de naam is Fries.";"BRT";"-";"-";"nee";"nee";"nee";"01-01-2025";"-"
"3";"onbekend";"Het is niet bekend in welke taal de naam gegeven is.";"BRT";"-";"-";"nee";"nee";"nee";"01-01-2025";"-"
