"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"dieptelijn","dieptelijn","Lijn gevormd door punten met gelijke waterdiepte.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"dieptepunt","dieptepunt","Punt waarvan de waterdiepte bekend is ten opzichte van het referentievlak.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"hoogtelijn","hoogtelijn","Lijn die punten van gelijke hoogte met elkaar verbindt.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"hoogtepunt","hoogtepunt","Punt waarvan de hoogte bekend is ten opzichte van het referentievlak.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"hoogwaterlijn","hoogwaterlijn","Lijn die de grens van het water aangeeft als de waterstand op zijn hoogst.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"laagwaterlijn","laagwaterlijn","Lijn die de grens van het water aangeeft als de waterstand op zijn laagst is.","BRT","-","-","nee","ja","nee","01-01-2026","-"
