"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"nl","Nederlands","De taal van de naam is Nederlands.","BRT","-","-","-","-","-","01-01-2026","-"
"fy","Fries","De taal van de naam is Fries.","BRT","-","-","-","-","-","01-01-2026","-"
"onbekend","onbekend","Het is niet bekend in welke taal de naam gegeven is.","BRT","-","-","-","-","-","01-01-2026","-"
