"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"personenvervoer","personenvervoer","Spoor, alleen bestemd voor personenvervoer.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"goederenvervoer","goederenvervoer","Spoor, alleen bestemd voor goederenvervoer.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"personen- en goederenvervoer","personen- en goederenvervoer","Spoor, zowel bestemd voor personen- als goederenvervoer.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"museumlijn","museumlijn","Spoor, enkel in gebruik als toeristische attractie.","BRT","-","-","nee","ja","nee","01-01-2026","-"
