"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"< 1 meter","< 1 meter","De hoogte van het reliëf object ten opzichte van het maaiveld is minder dan 1 meter.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"1 - 2,5 meter","1 - 2,5 meter","De hoogte van het reliëf object ten opzichte van het maaiveld ligt tussen 1 en 2,5 meter.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"> 2,5 meter","> 2,5 meter","De hoogte van het reliëf object ten opzichte van het maaiveld is groter dan 2,5 meter.","BRT","-","-","nee","ja","nee","01-01-2026","-"
