"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"nationaal park","nationaal park","Een door de rijksoverheid aangewezen terrein van nationale landschappelijke betekenis.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"natuurgebied","natuurgebied","Gebied dat waarde heeft uit een oogpunt van natuurschoon of natuurleven.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"openluchtmuseum","openluchtmuseum","Historisch museum in de open lucht, waarin de vroegere woon- en werkomgeving van de mens is gereconstrueerd.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"openluchttheater","openluchttheater","Plaats waar voorstellingen in de openlucht plaatsvinden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"park","park","Een op zichzelf staande groenvoorziening, dienend ter verfraaiing en/of verlevendiging van één of meerdere wijken, zonder hiervan direct deel uit te maken.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"psychiatrisch centrum","psychiatrisch centrum","Het geheel van gebouwen die tezamen een psychiatrisch ziekenhuiscomplex vormen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"recreatiegebied","recreatiegebied","Terrein bedoeld voor vrijetijdsbesteding.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"renbaan","renbaan","Het geheel aan gebouwen en installaties bedoeld voor draf- of renwedstrijden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"skibaan","skibaan","Terrein ingericht voor het beoefenen van de skisport.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"sluizencomplex","sluizencomplex","Het geheel aan voorzieningen, bijvoorbeeld gebouwen of terreinen, behorende tot een sluizencomplex (ook schutsluizen en uitwateringssluizen).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"sneltramhalte","sneltramhalte","Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per sneltram.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"sportterrein, sportcomplex","sportterrein, sportcomplex","Het geheel aan voorzieningen (bijvoorbeeld velden, kleedruimten, groenvoorziening, parkeerterrein, wegen of tribunes) t.b.v. de beoefening van sport.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"stortplaats","stortplaats","Plaats waar afval gestort mag worden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"tankstation","tankstation","Geheel van installaties, verharding en gebouwen bedoeld voor de verkoop van brandstoffen of energie voor voertuigen.","SOR","-","-","ja","nee","ja","01-01-2026","-"
"tolplaats","tolplaats","Geheel van installaties, verharding en gebouwen waar betaald moet worden voor toegang tot de weg.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"transformatorstation","transformatorstation","Gebied met installatie(s) voor het transformeren van elektrische stroom.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"treinstation","treinstation","Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per trein.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"vakantiepark","vakantiepark","Een terrein met voorzieningen t.b.v. verblijfsrecreatie, waarop een combinatie van bungalows en/of stacaravans en/of kampeerplaatsen voorkomt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"verdedigingswerk","verdedigingswerk","Historisch verdedigingswerk, al dan niet voorzien van een of meer (door aarde bedekte) gebouwen of ruïnes.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"verzorgingsplaats","verzorgingsplaats","Locatie langs een autosnelweg of hoofdweg met een parkeerfunctie, meestal in combinatie met een brandstofverkooppunt en soms aangevuld met een wegrestaurant.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"viskwekerij","viskwekerij","Terrein met bassins, aangelegd voor het kweken van vis.","BRT","-","-","nee","nee","ja","01-01-2026","-"
