"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"23";"golfterrein";"Terrein toegerust voor de uitoefening van de golfsport.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"24";"grafheuvel";"Voorhistorische begraafplaats in de vorm van een heuvel.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"25";"grindwinning, zandwinning";"Gebied waar winning van grind en/of zand plaatsvindt.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"26";"groeve";"Opengegraven ruimte waaruit een delfstof gewonnen wordt.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"27";"haven";"Lig- en bergplaats voor vaartuigen, inclusief het omliggende terrein.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"28";"heemtuin";"Tuin waar de inheemse flora en fauna ter instructie te bezichtigen zijn.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"29";"helikopterlandingsplaats";"Gebied dat dient als landings- en opstijgplaats voor helikopters.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"30";"ijsbaan";"Terrein dat in de winter onder water wordt gezet om te dienen als schaatsgelegenheid of dat is voorzien van een installatie waarmee een ijsvloer kan worden gelegd.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"31";"jachthaven";"Lig- en bergplaats voor pleziervaartuigen, tezamen met het omliggende terrein.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"32";"kassengebied";"Gebied bestaande uit meerdere landbouwkassen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"33";"kazerne, legerplaats, vliegbasis";"Terrein met militaire gebouwen en infrastructuur.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"34";"landgoed";"Buitenverblijf met omliggende landerijen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"35";"metrostation";"Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per metro.";"BRT";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"36";"mijn";"Plaats waar ertsen, bijvoorbeeld steenkool, worden gedolven.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"37";"militair oefengebied, schietterrein";"Gebied waar militairen oefenen, gebied voor het houden van schietoefeningen met zware vuurwapens.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"38";"nationaal park";"Een door de rijksoverheid aangewezen terrein van nationale landschappelijke betekenis.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"39";"natuurgebied";"Gebied dat waarde heeft uit een oogpunt van natuurschoon of natuurleven.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"40";"openluchtmuseum";"Historisch museum in de open lucht, waarin de vroegere woon- en werkomgeving van de mens is gereconstrueerd.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"41";"openluchttheater";"Plaats waar voorstellingen in de openlucht plaatsvinden.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"42";"park";"Een op zichzelf staande groenvoorziening, dienend ter verfraaiing en/of verlevendiging van één of meerdere wijken, zonder hiervan direct deel uit te maken.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"43";"psychiatrisch centrum";"Het geheel van gebouwen die tezamen een psychiatrisch ziekenhuiscomplex vormen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"44";"recreatiegebied";"Terrein bedoeld voor vrijetijdsbesteding.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"45";"renbaan";"Het geheel aan gebouwen en installaties bedoeld voor draf- of renwedstrijden.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"46";"skibaan";"Terrein ingericht voor het beoefenen van de skisport.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"47";"sluizencomplex";"Het geheel aan voorzieningen, zoals bijvoorbeeld gebouwen en terreinen, behorende tot een sluizencomplex (ook schutsluizen en uitwateringssluizen).";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"48";"sneltramhalte";"Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per sneltram.";"BRT";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"49";"sportterrein, sportcomplex";"Het geheel aan voorzieningen (bijvoorbeeld velden, kleedruimten, groenvoorziening, parkeerterrein, wegen en tribunes) t.b.v. de beoefening van sport.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"50";"stortplaats";"Plaats waar afval gestort mag worden.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"51";"tankstation";"Geheel van installaties, verharding en gebouwen bedoeld voor de verkoop van brandstoffen of energie voor voertuigen.";"SOR";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"52";"tolplaats";"Geheel van installaties, verharding en gebouwen waar betaald moet worden voor toegang tot de weg.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"53";"transformatorstation";"Gebied met installatie(s) voor het transformeren van elektrische stroom.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"54";"treinstation";"Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per trein.";"BRT";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"55";"vakantiepark";"Een terrein met voorzieningen t.b.v. verblijfsrecreatie, waarop een combinatie van bungalows en/of stacaravans en/of kampeerplaatsen voorkomt.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"56";"verdedigingswerk";"Historisch verdedigingswerk, al dan niet voorzien van een of meer (door aarde bedekte) gebouwen of ruïnes.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"57";"verzorgingsplaats";"Locatie langs een autosnelweg of hoofdweg met een parkeerfunctie, meestal in combinatie met een brandstofverkooppunt en soms aangevuld met een wegrestaurant.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"58";"viskwekerij";"Terrein met bassins, aangelegd voor het kweken van vis.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"59";"visvijvercomplex";"Het geheel aan voorzieningen t.b.v. sportvissen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"60";"vliedberg";"Kunstmatige heuvel waarop men bij overstromingen kan vluchten.";"BRT";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"61";"vliegveld, luchthaven";"Vliegveld voor verkeersvliegtuigen met groot, effen terrein met al dan niet verharde banen, waar vliegtuigen kunnen opstijgen en landen, eventueel met accommodatie voor ontvangst en vertrek van passagiers en verzending van goederen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"62";"volkstuinen";"Het geheel aan voorzieningen t.b.v. hobbytuinbouw.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"63";"waterkering";"Geheel van een dijk of dam, inclusief talud.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"64";"wildwissel";"Civieltechnisch kunstwerk om dieren een veilige oversteek te bieden over of onder een weg.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"65";"woonwagencentrum";"Plaats waar gewoond wordt in woonwagens.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"66";"zenderpark";"Gebied waar meerdere zendmasten staan opgesteld.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"67";"ziekenhuiscomplex";"Het geheel aan voorzieningen en gebouwen die tezamen een ziekenhuis vormen.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"68";"zonnepark";"Gebied ten behoeve van de opwekking van zonne-energie of zonnewarmte.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"69";"zoutwinning";"Gebied waar zoutwinning plaatsvindt.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"70";"zuiveringsinstallatie";"Het gebied omvattende het geheel aan voorzieningen t.b.v. de zuivering van afvalwater.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"71";"zweefvliegveldterrein";"Het geheel aan terreinen, gebouwen voor (de beoefening van) de zweefvliegsport.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"72";"zwembadcomplex";"Het geheel aan voorzieningen rond een openbaar zwembad.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"73";"ongeclassificeerd";"Het typeFunctioneelGebied is anders dan de beschikbare attribuutwaarden.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
