"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"wal","wal","Langgerekte ophoging in het terrein met een hoogte tussen 0,50 en 1,00 meter.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"steile rand, aardrand","steile rand, aardrand","Plotselinge terreinverheffing of inzinking.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"talud, hoogteverschil","talud, hoogteverschil","Schuinte van het zijvlak van aardwerken, dijken, spoorbanen of vestingwerken (talud). / Plaatselijk glooiende terreinverheffing of -inzinking (hoogteverschil).","BRT","-","-","nee","ja","nee","01-01-2026","-"
