"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Populatiebeschrijving","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"land","land","Begrenzing van Nederland, begrenst door België, Duitsland en de Territoriale Zee (12-mijls zone).","BRT","Het land 'Nederland' is gebaseerd op het land 'Nederland' in 'Bestuurlijke Gebieden' uit de Basisregistratie Kadaster (BRK).","-","nee","nee","ja","01-01-2026","-"
"provincie","provincie","Staatkundig onderdeel van Nederland met een eigen bestuur, tussen de nationale en gemeentelijke bestuurslaag in.","BRT","De provincies zijn gebaseerd op de provincies in 'Bestuurlijke Gebieden' uit de Basisregistratie Kadaster (BRK).","-","nee","nee","ja","01-01-2026","-"
"gemeente","gemeente","Zelfstandig, zelfbestuur en autonomie bezittend onderdeel van de staat Nederland, onder het bestuur van een raad, een burgemeester en wethouders.","BRT","De gemeenten zijn gebaseerd op de gemeenten in 'Bestuurlijke Gebieden' uit de Basisregistratie Kadaster (BRK).","-","nee","nee","ja","01-01-2026","-"
"maritieme zone","maritieme zone","Een bestuurlijk gebied op zee, vastgesteld door de Dienst der Hydrografie van het Ministerie van Defensie.","BRT","In de BRT worden de volgende maritieme zone's opgenomen: de Territoriale Zee en de Exclusieve Economische Zone.|De Territoriale Zee sluit aan op het land 'Nederland' (geen overlap en geen gaten) en is bij de grens met Duitsland uitgebreid tot de grens naar Nederlandse rechtsopvatting (equidistantielijn).","-","nee","nee","ja","01-01-2026","-"
