"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Populatiebeschrijving","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"hoogspanningsleiding","hoogspanningsleiding","Geleidedraden voor het transport van elektriciteit met een hoog voltage, ondersteund door hoogspanningsmasten.","BRT","Hoogspanningsleidingen sluiten aan op de hoogspanningsmasten.|Hoogspanningsleidingen bij wintrackmasten (magneetveldarme masten herkenbaar aan twee tegenover elkaar staande palen) worden gekarteerd door het geven van één hoogspanningsleiding door het centrum van de twee palen.","-","nee","ja","nee","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeLeiding is anders dan de beschikbare attribuutwaarden.","BRT","-","-","nee","ja","nee","01-01-2026","-"
