"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"35";"scheepvaartlicht";"Stellage die een licht draagt t.b.v. de scheepvaart.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"36";"sluisdeur";"Een kunstmatige, beweegbare waterkering die de verbinding tussen twee wateren kan afsluiten of openstellen en daartoe van deuren of schuiven is voorzien.";"BGT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
"37";"steiger";"Vaste (niet drijvende) waterbouwkundige constructie voor het aanleggen van schepen en bedoeld om deze schepen vanaf de wal te laden en te lossen.";"BGT";"-";"-";"nee";"ja";"ja";"01-01-2025";"-"
"38";"stormvloedkering";"Waterkering, bedoeld om bij extreem hoge waterstanden water af te sluiten ter bescherming van het achter de kering gelegen land.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"39";"strandpaal";"Paal op het strand of in de duinen, geplaatst als hulpmiddel bij het uitvoeren van metingen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"40";"strekdam";"Constructie in het water ter verdediging van de kust/oever.";"BGT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"41";"stuw";"Een constructie met een vaste drempel of een beweegbare klep, die dient om de waterstand boven- en benedenstrooms te regelen.";"BGT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
"42";"uitzichtpunt";"Punt met fraai uitzicht. / Bouwwerk permanent ingericht om te kunnen observeren.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"43";"wegafsluiter";"Een fysieke permanente of tijdelijke barrière in of dwars over een weg voor tenminste een gedeelte van de gebruikers van die weg (bijvoorbeeld paaltjes, slagboom, toegangshek).";"BRT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
"44";"wegwijzer";"Bord langs een weg waarop aangegeven is in welke richting een bepaalde plek ligt en eventueel hoe ver het is.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"45";"windmolentje";"Een vrij op de wind draaiend molentje (met wieken of een rad van schoepen) van metaal en/of kuststof, bestemd voor het bemalen van een sloot (windmotor). / Klein type molen, herkenbaar aan schuin op een stellage geplaatste wieken, bestemd voor het bemalen van het omliggende terrein (tjasker).";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"46";"zendmast";"Telecommunicatietoren (toren t.b.v. datacommunicatie). / Zendtoren (toren met een zendantenne) / Zend- en/of ontvangstmast (hoge, open constructie t.b.v. het uitzenden en/of ontvangen van beeld- en/of geluidssignalen).";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"47";"zwembad";"Constructie in de vorm van een bassin bedoeld om in te zwemmen.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"48";"ongeclassificeerd";"Het typeInrichtingselement is anders dan de beschikbare attribuutwaarden.";"BRT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
