"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"op vast deel van brug","op vast deel van brug","Het spoor is gelegen op een niet beweegbaar deel van een overbruggingsdeel.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"op beweegbaar deel van brug","op beweegbaar deel van brug","Het spoor is gelegen op een beweegbaar deel van een overbruggingsdeel.","BRT","-","-","nee","ja","ja","01-01-2026","-"
"in tunnel","in tunnel","Het spoor is gelegen in een kunstmatig aangelegde, onderaardse kokervormige doorgang.","BRT","-","-","nee","ja","ja","01-01-2026","-"
